Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
13d0b19e-9aad-4c17-b546-483793a654d2,"2020-08-04, 10:20:32 AM",CloudTrail,LookupEvents,,,,us-east-2,,212.103.48.115
bdb7a83c-0872-4601-aaf3-27138bd5638c,"2020-08-04, 10:20:32 AM",CloudTrail,LookupEvents,,,,us-east-2,,212.103.48.115
433c4198-9fc2-433e-b7a2-fda7d252a9be,"2020-08-04, 10:20:29 AM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:849710805390:trail/Udacity_Trail""}]",,us-east-2,,212.103.48.115
4daa29e7-7953-4ec6-89c7-b209cc34f153,"2020-08-04, 10:20:29 AM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udastack""}]",,us-east-2,,212.103.48.115
f5d50f7c-a238-49e2-95ff-ba561bbbbd46,"2020-08-04, 10:20:29 AM",CloudTrail,UpdateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:849710805390:trail/Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udastack""}]",,us-east-2,,212.103.48.115
0ae8f9eb-1f2e-4329-8c1a-9e0da052bdcb,"2020-08-04, 10:20:28 AM",CloudTrail,GetBucketLocation,,,,us-east-2,,212.103.48.115
f563d5c4-6b07-4655-a07e-fbab872e70b0,"2020-08-04, 10:20:28 AM",CloudTrail,GetBucketPolicy,,,,us-east-2,,212.103.48.115
0c923fb1-67e7-452e-8be3-fbc0af5b31e9,"2020-08-04, 10:20:23 AM",CloudTrail,ListKeys,,,,us-east-2,,212.103.48.115
40d1a4f4-17b1-463e-b2ce-7b8adecf07bc,"2020-08-04, 10:20:23 AM",CloudTrail,GetBucketLocation,,,,us-east-2,,212.103.48.115
55ca4cff-5e0b-477d-b003-2dd99a8c6ab8,"2020-08-04, 10:20:23 AM",CloudTrail,ListAliases,,,,us-east-2,,212.103.48.115
5ca0f682-eaa3-4b2f-84d4-a9d2f61c4c59,"2020-08-04, 10:20:23 AM",CloudTrail,GetInsightSelectors,,,,us-east-2,InsightNotEnabledException,212.103.48.115
